t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516980789,1,0.018135,0.018135,0.018135,0.000000,0.018135,0.018135,0.018135,0.018135,0.018135,0.018135,1.320289,6.161005,10.502080,11.478345,calls/minute,milliseconds
1516980984,2,0.017427,0.008227,0.001613,0.007801,0.001613,0.017427,0.017427,0.017427,0.017427,0.017427,5.138372,9.345609,11.414753,11.801657,calls/minute,milliseconds
1516982699,1,0.018256,0.018256,0.018256,0.000000,0.018256,0.018256,0.018256,0.018256,0.018256,0.018256,10.363530,12.000000,12.000000,12.000000,calls/minute,milliseconds
1516982759,1,0.018256,0.018256,0.018256,0.000000,0.018256,0.018256,0.018256,0.018256,0.018256,0.018256,0.911999,4.414553,9.824769,11.226084,calls/minute,milliseconds
1516982820,1,0.018256,0.018256,0.018256,0.000000,0.018256,0.018256,0.018256,0.018256,0.018256,0.018256,0.476991,1.624023,8.043841,10.502080,calls/minute,milliseconds
1516990248,1,0.018294,0.018294,0.018294,0.000000,0.018294,0.018294,0.018294,0.018294,0.018294,0.018294,3.013485,10.157781,11.606593,11.867405,calls/minute,milliseconds
1517249042,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,2.522384,9.345609,11.414753,11.801657,calls/minute,milliseconds
1517249102,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.716687,3.438058,9.345609,11.040533,calls/minute,milliseconds
1517249162,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.417483,1.264791,7.651538,10.328496,calls/minute,milliseconds
1517249222,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.294524,0.465290,6.264549,9.662380,calls/minute,milliseconds
1517249282,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.227514,0.171171,5.128979,9.039224,calls/minute,milliseconds
1517249342,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.185346,0.062970,4.199253,8.456257,calls/minute,milliseconds
1517249402,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.156365,0.023165,3.438058,7.910888,calls/minute,milliseconds
1517249462,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.135221,0.008522,2.814843,7.400691,calls/minute,milliseconds
1517249522,1,0.017585,0.017585,0.017585,0.000000,0.017585,0.017585,0.017585,0.017585,0.017585,0.017585,0.119114,0.003135,2.304599,6.923398,calls/minute,milliseconds
1517249582,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.212872,0.633673,2.069330,6.541547,calls/minute,milliseconds
1517249642,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.192394,0.233115,1.694224,6.119663,calls/minute,milliseconds
1517249702,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.175511,0.085758,1.387113,5.724988,calls/minute,milliseconds
1517249762,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.161351,0.031549,1.135672,5.355766,calls/minute,milliseconds
1517249822,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.149306,0.011606,0.929810,5.010357,calls/minute,milliseconds
1517249882,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.138934,0.004270,0.761264,4.687224,calls/minute,milliseconds
1517249942,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.129910,0.001571,0.623270,4.384930,calls/minute,milliseconds
1517250002,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.121986,0.000578,0.510290,4.102133,calls/minute,milliseconds
1517250062,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.114974,0.000213,0.417791,3.837574,calls/minute,milliseconds
1517250122,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.108724,0.000078,0.342058,3.590077,calls/minute,milliseconds
1517250182,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.103118,0.000029,0.280053,3.358542,calls/minute,milliseconds
1517250242,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.098062,0.000011,0.229288,3.141940,calls/minute,milliseconds
1517250302,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.093478,0.000004,0.187725,2.939307,calls/minute,milliseconds
1517250362,2,0.021841,0.021840,0.017585,0.000079,0.021841,0.021841,0.021841,0.021841,0.021841,0.021841,0.089304,0.000001,0.153697,2.749742,calls/minute,milliseconds
